,Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,Unnamed: 10
1775,523411,ADCINDIA,X,133.85,133.85,130.0,130.0,215,0.28,4,
1776,524534,BHASKAGR,XT,14.7,14.7,14.7,14.7,1913,0.28,2,
1777,513519,PITTIENG,B,24.35,25.3,24.35,24.9,1142,0.28,32,
1778,512559,KOHINOOR,Z,8.48,8.48,7.85,8.19,3411,0.28,24,
1779,511571,SODFC,X,19.8,19.8,19.8,19.8,1400,0.28,2,
1780,519248,JVLAGRO,Z,0.48,0.5,0.48,0.49,57664,0.28,18,
1781,531233,RASIELEC,X,2.12,2.12,1.98,2.05,13500,0.28,24,
1782,526931,HRYNSHP,X,26.0,26.9,24.1,25.25,1109,0.28,17,
1783,532740,LOKESHMACH,B,18.5,18.75,18.5,18.6,1484,0.28,47,
1784,539785,PDMJEPAPER,B,12.35,12.38,11.99,12.38,2310,0.28,11,
1785,533477,ENKEIWHEL,X,193.0,193.0,185.35,188.1,143,0.27,7,
1786,533296,FMNL,B,18.1,18.1,16.55,17.15,1589,0.27,19,
1787,526703,ECOPLAST,X,72.05,75.65,69.0,74.35,371,0.27,16,
1788,531215,RTSPOWR,X,18.6,20.2,18.35,19.35,1451,0.27,11,
1789,531346,EASTRED,X,20.75,20.8,20.5,20.5,1301,0.27,4,
1790,532692,RMCL,T,3.4,3.4,3.25,3.35,8276,0.27,14,
1791,517498,WEBELSOLAR,B,15.15,15.15,14.42,14.42,1847,0.27,29,
1792,515145,HINDNATGLS,B,31.15,31.6,31.15,31.5,850,0.27,54,
1793,513532,PRADPME,X,32.05,34.3,32.05,33.65,826,0.27,4,
1794,513361,ISWL,X,0.3,0.32,0.3,0.3,85803,0.27,33,
1795,512626,ORBTEXP,B,52.3,53.85,52.3,53.85,511,0.27,24,
1796,505216,ALFREDHE,X,535.0,535.0,535.0,535.0,50,0.27,1,
1797,506532,NITTAGELA,X,117.0,117.0,112.15,112.9,240,0.27,11,
1798,542839,NIEHSPD,B,1.87,2.05,1.69,1.8,15834,0.27,27,
1799,504028,GEE,X,25.0,26.0,24.6,25.75,1037,0.26,21,
1800,501298,INDPRUD,X,856.0,856.95,788.1,854.95,31,0.26,4,
1801,519383,ANIKINDS,B,10.35,10.5,10.3,10.38,2502,0.26,7,
1802,532457,GULPOLY,B,27.15,28.15,27.1,28.15,953,0.26,27,
1803,531518,VIKASPROP,B,3.4,3.4,3.4,3.4,7501,0.26,4,
1804,531216,COMFINTE,X,4.7,4.96,4.6,4.96,5290,0.26,17,
1805,530521,VIRAT,X,25.7,25.7,25.7,25.7,1003,0.26,10,
1806,535620,BINNYMILLS,X,32.25,32.25,29.3,32.25,809,0.26,10,
1807,538476,CTL,X,3.3,3.6,3.3,3.56,7036,0.25,21,
1808,539255,STARDELTA,X,72.0,72.0,68.0,68.0,341,0.25,2,
1809,533294,RKDL,B,7.85,7.85,7.21,7.65,3224,0.25,21,
1810,533047,IMFA,B,148.0,152.95,147.15,148.3,163,0.25,24,
1811,532878,ALPA,B,18.8,18.9,18.7,18.8,1315,0.25,18,
1812,532419,SMARTLINK,B,63.35,69.85,63.35,66.25,379,0.25,27,
1813,524667,SOTL,B,661.4,669.0,660.0,661.3,38,0.25,13,
1814,523796,VICEROY,T,2.03,2.03,1.93,1.93,12871,0.25,33,
1815,523011,WEIZMANIND,B,24.45,24.45,23.6,24.45,1051,0.25,6,
1816,504092,INDOKEM,X,6.85,6.86,6.63,6.86,3616,0.25,12,
1817,506222,INEOSSTYRO,B,639.0,639.0,606.0,606.0,40,0.25,8,
1818,541144,ACTIVE,M,6.15,6.19,6.15,6.19,4000,0.25,2,
1819,542774,APMFINVEST,B,13.25,13.4,13.25,13.38,1815,0.24,10,
1820,507759,LIMECHM,X,21.5,21.9,21.5,21.5,1106,0.24,10,
1821,501430,BOMBCYC,X,674.0,674.0,670.55,670.55,36,0.24,5,
1822,521113,SUDTIND-B,X,9.05,9.7,9.05,9.7,2567,0.24,8,
1823,536659,PVVINFRA,X,3.99,3.99,3.92,3.99,6154,0.24,24,
1824,532847,HILTON,B,9.25,9.25,9.08,9.08,2500,0.23,2,
1825,532380,BABA,X,3.95,3.95,3.16,3.6,6518,0.23,37,
1826,530889,ALKA,XT,0.19,0.19,0.19,0.19,119312,0.23,12,
1827,522285,JAYNECOIND,T,2.85,2.87,2.85,2.87,8000,0.23,23,
1828,524212,WANBURY,T,21.15,21.15,20.6,20.6,1105,0.23,5,
1829,517273,S&SPOWER,T,18.75,18.75,18.0,18.1,1247,0.23,10,
1830,514036,LOYALTEX,X,177.0,177.0,170.05,173.05,131,0.23,4,
1831,500319,INDSUCR,X,17.9,18.3,17.1,18.05,1276,0.23,15,
1832,509077,PRESSMN,B,15.9,16.35,15.9,16.35,1436,0.23,18,
1833,509438,BENARAS,XT,1330.0,1330.0,1255.05,1319.25,18,0.23,6,
1834,504240,DLTNCBL,X,24.5,25.05,24.5,25.05,902,0.23,5,
1835,511116,QUADRANT,X,0.19,0.19,0.19,0.19,117227,0.22,8,
1836,507442,DHARSUGAR,T,5.34,5.4,4.95,4.96,4182,0.22,14,
1837,513369,RJKMRFR,X,19.65,19.65,18.6,19.65,1119,0.22,8,
1838,520155,STARLOG,X,17.0,17.0,17.0,17.0,1272,0.22,7,
1839,526550,CCHHL,B,2.39,2.39,2.3,2.39,9122,0.22,20,
1840,531287,NATPLASTI,X,29.45,29.45,29.45,29.45,750,0.22,3,
1841,533227,AHLEAST,B,149.0,149.0,126.0,130.9,166,0.22,36,
1842,537524,VIAANINDUS,X,1.43,1.52,1.43,1.48,15143,0.22,39,
1843,541725,IDFCEOS6RG,B,7.31,7.31,7.31,7.31,3000,0.22,4,
1844,540728,SAYAJIIND,X,110.0,110.0,110.0,110.0,195,0.21,1,
1845,538092,JOONKTOLL,X,80.35,86.5,80.35,84.0,248,0.21,6,
1846,533257,INDOSOLAR,Z,0.77,0.77,0.76,0.77,27894,0.21,13,
1847,533101,SURYAAMBA,X,44.0,44.0,39.0,41.5,524,0.21,9,
1848,532835,ICRA,B,2600.0,2620.0,2579.55,2579.55,8,0.21,3,
1849,532808,PGIL,B,99.0,99.0,97.0,98.0,214,0.21,10,
1850,530577,LADDERUP,X,22.05,22.05,21.0,21.0,1010,0.21,3,
1851,526861,RISHILASE,X,5.98,5.98,5.98,5.98,3525,0.21,3,
1852,523019,BNRSEC,X,15.25,18.7,15.25,17.45,1342,0.21,28,
1853,512020,ZSARACOM,X,290.45,290.45,290.45,290.45,74,0.21,3,
1854,507864,PIONRINV,X,26.35,26.35,24.25,25.0,823,0.21,21,
1855,506109,GENESYS,B,28.85,28.85,26.15,28.85,709,0.2,11,
1856,505141,SCOOTER,T,22.75,22.75,21.35,22.0,896,0.2,19,
1857,511589,AVONMORE,X,8.1,8.69,8.1,8.5,2394,0.2,13,
1858,519136,NAHARINDUS,B,22.6,24.5,21.65,23.9,850,0.2,41,
1859,517370,INCAP,XT,25.0,27.5,25.0,25.0,770,0.2,8,
1860,514470,WINSOMTX,B,12.85,13.05,12.85,13.05,1502,0.2,5,
1861,522231,CONART,X,19.8,19.8,18.8,18.8,1032,0.2,13,
1862,530695,PRIMEPRO,X,8.52,8.9,8.3,8.53,2247,0.2,15,
1863,530215,KINGSINFR,X,20.9,21.35,20.0,21.0,961,0.2,13,
1864,531512,ORIENTTR,XT,1.9,1.9,1.9,1.9,10520,0.2,10,
1865,532341,IZMO,B,15.3,15.4,15.3,15.4,1330,0.2,6,
1866,531979,HINDALUMI,X,38.3,38.3,36.3,37.6,530,0.2,12,
1867,532053,WALLFORT,X,15.2,15.9,15.2,15.9,1320,0.2,3,
