Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
530915,JRFOODS,XT,2.16,2.16,2.16,2.16,3001,0.06,14,
530643,ECORECO,X,28.90,28.90,28.10,28.85,201,0.06,3,
539742,SIMBHALS,B,5.67,5.67,5.67,5.67,1005,0.06,3,
539861,SKIL,T,3.84,3.84,3.84,3.84,1465,0.06,7,
539195,POEL,X,19.40,19.40,17.75,17.85,325,0.06,6,
539042,AGIIL,B,42.00,42.00,42.00,42.00,150,0.06,2,
535458,NIBL,B,5.16,5.16,5.16,5.16,1231,0.06,6,
532812,TFL,B,2.78,2.78,2.78,2.78,2200,0.06,2,
533336,DHUNINV,B,163.50,166.00,163.50,164.40,36,0.06,14,
533181,ISFT,T,58.70,58.70,58.70,58.70,110,0.06,2,
533216,TECHNOFAB,B,5.17,5.24,4.94,4.98,900,0.05,8,
539725,GOKULAGRO,B,11.10,11.28,11.10,11.28,452,0.05,20,
530421,KUWERIN,X,3.57,3.57,3.57,3.57,1349,0.05,3,
526737,CORPOCO,X,2.81,2.85,2.81,2.85,1816,0.05,6,
526847,ASHSI,X,8.97,9.41,8.53,9.41,620,0.05,10,
531552,RAGHUTOB,X,2.21,2.21,2.21,2.21,2179,0.05,7,
531471,DUKEOFS,X,5.00,5.00,5.00,5.00,1078,0.05,5,
532694,BARTRONICS,Z,1.48,1.54,1.48,1.54,3580,0.05,13,
531917,TWINSTAR,Z,0.79,0.82,0.79,0.82,5650,0.05,6,
502281,TRIVENIGQ,XT,3.57,3.57,3.24,3.57,1450,0.05,6,
509020,RUCHINFRA,T,6.28,6.28,6.28,6.28,751,0.05,3,
508875,NITINCAST,X,56.65,56.65,56.65,56.65,90,0.05,3,
509051,INDINFO,XT,0.19,0.19,0.19,0.19,25202,0.05,22,
507817,WIREFABR,X,54.90,54.90,54.90,54.90,100,0.05,1,
500426,UTLINDS,XT,8.07,8.85,8.07,8.85,620,0.05,5,
514167,GANECOS,B,176.70,176.70,174.70,174.70,26,0.05,2,
513117,AMFORG,X,1.00,1.00,1.00,1.00,5000,0.05,1,
513305,TERRASCOPE,X,3.25,3.31,3.19,3.30,1424,0.05,10,
511447,SYLPH,X,4.12,4.12,4.12,4.12,1100,0.05,2,
511672,SCANSTL,X,16.50,16.80,15.75,16.10,331,0.05,9,
522163,DIAPOWER,Z,0.54,0.54,0.54,0.54,8846,0.05,8,
521105,OLYMPTX,X,9.15,9.41,9.15,9.41,583,0.05,5,
521109,NAGREEKEXP,B,9.72,9.72,9.72,9.72,500,0.05,2,
524440,CAMEXLTD,X,12.02,12.40,12.02,12.40,400,0.05,6,
524336,SHHARICH,X,17.30,17.30,17.30,17.30,302,0.05,4,
526546,CHOKSILA,X,10.00,10.00,9.80,10.00,510,0.05,3,
526471,WINSOMBR,XT,4.21,4.42,4.08,4.21,1209,0.05,9,
526137,SHETR,X,17.55,17.75,17.55,17.70,299,0.05,3,
524818,DYNAMIND,X,48.65,48.65,40.25,44.10,124,0.05,11,
540642,SALASAR,T,96.80,106.50,96.80,97.30,53,0.05,3,
539982,ASYL,T,10.38,10.86,10.38,10.86,440,0.05,3,
590115,M50,B,97.40,98.02,97.00,97.26,51,0.05,9,
540023,COLORCHIPS,X,10.21,10.21,9.69,10.15,412,0.04,13,
540204,NIDL,XT,12.35,12.35,12.35,12.35,351,0.04,3,
